client_id,registration_date,cohort,customer_segment
550e8400-e29b-41d4-a716-446655440001,2023-01-15,2023-Q1,new_customer
550e8400-e29b-41d4-a716-446655440002,2023-02-20,2023-Q1,returning_customer
550e8400-e29b-41d4-a716-446655440003,2023-03-10,2023-Q1,vip_customer
550e8400-e29b-41d4-a716-446655440004,2023-01-05,2023-Q1,new_customer
550e8400-e29b-41d4-a716-446655440005,2023-04-12,2023-Q2,new_customer
550e8400-e29b-41d4-a716-446655440006,2023-01-20,2023-Q1,new_customer
550e8400-e29b-41d4-a716-446655440007,2023-02-28,2023-Q1,returning_customer
550e8400-e29b-41d4-a716-446655440008,2023-03-15,2023-Q1,vip_customer
550e8400-e29b-41d4-a716-446655440009,2023-04-01,2023-Q2,new_customer
550e8400-e29b-41d4-a716-446655440010,2023-04-18,2023-Q2,returning_customer
550e8400-e29b-41d4-a716-446655440011,2023-02-10,2023-Q1,new_customer
550e8400-e29b-41d4-a716-446655440012,2023-03-25,2023-Q1,returning_customer
550e8400-e29b-41d4-a716-446655440013,2023-01-30,2023-Q1,vip_customer
550e8400-e29b-41d4-a716-446655440014,2023-04-05,2023-Q2,new_customer
550e8400-e29b-41d4-a716-446655440015,2023-02-15,2023-Q1,returning_customer
550e8400-e29b-41d4-a716-446655440016,2023-03-20,2023-Q1,new_customer
550e8400-e29b-41d4-a716-446655440017,2023-04-22,2023-Q2,vip_customer
550e8400-e29b-41d4-a716-446655440018,2023-01-25,2023-Q1,new_customer
550e8400-e29b-41d4-a716-446655440019,2023-03-05,2023-Q1,returning_customer
550e8400-e29b-41d4-a716-446655440020,2023-04-15,2023-Q2,new_customer
