client_id,event_type,event_time,session_id,channel,campaign_id,utm_source,utm_medium,page_url,referrer_url,revenue,product_id,product_category
550e8400-e29b-41d4-a716-446655440001,page_view,2023-05-01 10:30:00,sess_001,organic_search,camp_seo_001,google,organic,/products/shoes,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440001,page_view,2023-05-01 10:35:00,sess_001,organic_search,camp_seo_001,google,organic,/products/sneakers,/products/shoes,,,  
550e8400-e29b-41d4-a716-446655440001,purchase,2023-05-01 10:45:00,sess_001,organic_search,camp_seo_001,google,organic,/checkout/success,,129.99,prod_sneakers_001,footwear
550e8400-e29b-41d4-a716-446655440002,page_view,2023-05-01 11:15:00,sess_002,paid_search,camp_ppc_001,google,cpc,/landing/summer-sale,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440002,purchase,2023-05-01 11:30:00,sess_002,paid_search,camp_ppc_001,google,cpc,/checkout/success,,79.50,prod_tshirt_001,clothing
550e8400-e29b-41d4-a716-446655440003,page_view,2023-05-01 14:20:00,sess_003,social,camp_fb_001,facebook,social,/products/clothing,https://facebook.com,,,
550e8400-e29b-41d4-a716-446655440003,purchase,2023-05-01 14:35:00,sess_003,social,camp_fb_001,facebook,social,/checkout/success,,199.99,prod_jacket_001,clothing
550e8400-e29b-41d4-a716-446655440001,page_view,2023-05-02 09:45:00,sess_004,email,camp_email_001,email,email,/products/sale,email_campaign,,,
550e8400-e29b-41d4-a716-446655440001,purchase,2023-05-02 10:00:00,sess_004,email,camp_email_001,email,email,/checkout/success,,45.00,prod_socks_001,footwear
550e8400-e29b-41d4-a716-446655440004,page_view,2023-05-02 16:30:00,sess_005,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440005,page_view,2023-05-03 12:00:00,sess_006,organic_search,camp_seo_002,google,organic,/categories/electronics,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440005,purchase,2023-05-03 12:20:00,sess_006,organic_search,camp_seo_002,google,organic,/checkout/success,,299.99,prod_laptop_001,electronics
550e8400-e29b-41d4-a716-446655440006,page_view,2023-05-03 15:30:00,sess_007,organic_search,camp_seo_003,google,organic,/products/books,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440006,page_view,2023-05-03 15:45:00,sess_007,organic_search,camp_seo_003,google,organic,/categories/books,/products/books,,,
550e8400-e29b-41d4-a716-446655440006,page_view,2023-05-04 10:20:00,sess_008,email,camp_email_002,email,email,/products/new-arrivals,email_campaign,,,
550e8400-e29b-41d4-a716-446655440006,page_view,2023-05-04 16:30:00,sess_009,social,camp_ig_001,instagram,social,/products/trending,https://instagram.com,,,
550e8400-e29b-41d4-a716-446655440007,page_view,2023-05-04 09:15:00,sess_010,paid_search,camp_ppc_002,google,cpc,/landing/electronics,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440007,page_view,2023-05-05 11:20:00,sess_011,organic_search,camp_seo_004,google,organic,/products/smartphones,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440007,purchase,2023-05-05 11:45:00,sess_011,organic_search,camp_seo_004,google,organic,/checkout/success,,899.99,prod_smartphone_001,electronics
550e8400-e29b-41d4-a716-446655440008,page_view,2023-05-05 14:10:00,sess_012,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440008,purchase,2023-05-05 14:25:00,sess_012,direct,,direct,none,/checkout/success,,159.99,prod_headphones_001,electronics
550e8400-e29b-41d4-a716-446655440009,page_view,2023-05-06 08:30:00,sess_013,organic_search,camp_seo_005,google,organic,/categories/home,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440009,page_view,2023-05-06 08:45:00,sess_013,organic_search,camp_seo_005,google,organic,/products/furniture,/categories/home,,,
550e8400-e29b-41d4-a716-446655440010,page_view,2023-05-06 12:15:00,sess_014,social,camp_fb_002,facebook,social,/landing/spring-sale,https://facebook.com,,,
550e8400-e29b-41d4-a716-446655440010,page_view,2023-05-07 16:30:00,sess_015,email,camp_email_003,email,email,/products/sale,email_campaign,,,
550e8400-e29b-41d4-a716-446655440010,purchase,2023-05-07 16:45:00,sess_015,email,camp_email_003,email,email,/checkout/success,,89.99,prod_backpack_001,accessories
550e8400-e29b-41d4-a716-446655440011,page_view,2023-05-07 10:20:00,sess_016,paid_search,camp_ppc_003,google,cpc,/landing/fashion,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440011,page_view,2023-05-07 18:30:00,sess_017,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440012,page_view,2023-05-08 09:45:00,sess_018,organic_search,camp_seo_006,google,organic,/products/sports,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440012,page_view,2023-05-08 14:20:00,sess_019,social,camp_ig_002,instagram,social,/products/fitness,https://instagram.com,,,
550e8400-e29b-41d4-a716-446655440012,purchase,2023-05-08 14:35:00,sess_019,social,camp_ig_002,instagram,social,/checkout/success,,249.99,prod_fitness_001,sports
550e8400-e29b-41d4-a716-446655440013,page_view,2023-05-08 11:10:00,sess_020,email,camp_email_004,email,email,/products/vip-exclusive,email_campaign,,,
550e8400-e29b-41d4-a716-446655440013,page_view,2023-05-08 11:25:00,sess_020,email,camp_email_004,email,email,/products/luxury-watches,/products/vip-exclusive,,,
550e8400-e29b-41d4-a716-446655440013,purchase,2023-05-08 11:40:00,sess_020,email,camp_email_004,email,email,/checkout/success,,1299.99,prod_watch_001,luxury
550e8400-e29b-41d4-a716-446655440014,page_view,2023-05-09 15:20:00,sess_021,organic_search,camp_seo_007,google,organic,/products/kitchen,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440014,page_view,2023-05-09 15:35:00,sess_021,organic_search,camp_seo_007,google,organic,/products/appliances,/products/kitchen,,,
550e8400-e29b-41d4-a716-446655440015,page_view,2023-05-09 13:40:00,sess_022,paid_search,camp_ppc_004,google,cpc,/landing/home-decor,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440015,page_view,2023-05-10 09:15:00,sess_023,social,camp_fb_003,facebook,social,/products/decor,https://facebook.com,,,
550e8400-e29b-41d4-a716-446655440015,purchase,2023-05-10 09:30:00,sess_023,social,camp_fb_003,facebook,social,/checkout/success,,179.99,prod_lamp_001,home
550e8400-e29b-41d4-a716-446655440016,page_view,2023-05-10 12:20:00,sess_024,organic_search,camp_seo_008,google,organic,/categories/beauty,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440016,page_view,2023-05-10 12:35:00,sess_024,organic_search,camp_seo_008,google,organic,/products/skincare,/categories/beauty,,,
550e8400-e29b-41d4-a716-446655440017,page_view,2023-05-10 16:45:00,sess_025,email,camp_email_005,email,email,/products/premium,email_campaign,,,
550e8400-e29b-41d4-a716-446655440017,purchase,2023-05-10 17:00:00,sess_025,email,camp_email_005,email,email,/checkout/success,,599.99,prod_camera_001,electronics
550e8400-e29b-41d4-a716-446655440018,page_view,2023-05-11 08:20:00,sess_026,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440018,page_view,2023-05-11 08:35:00,sess_026,direct,,direct,none,/products/outdoor,/,,,
550e8400-e29b-41d4-a716-446655440019,page_view,2023-05-11 14:10:00,sess_027,social,camp_ig_003,instagram,social,/products/lifestyle,https://instagram.com,,,
550e8400-e29b-41d4-a716-446655440019,page_view,2023-05-12 10:25:00,sess_028,organic_search,camp_seo_009,google,organic,/categories/travel,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440019,purchase,2023-05-12 10:40:00,sess_028,organic_search,camp_seo_009,google,organic,/checkout/success,,399.99,prod_luggage_001,travel
550e8400-e29b-41d4-a716-446655440020,page_view,2023-05-12 13:15:00,sess_029,paid_search,camp_ppc_005,google,cpc,/landing/tech-deals,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440020,page_view,2023-05-12 13:30:00,sess_029,paid_search,camp_ppc_005,google,cpc,/products/tablets,/landing/tech-deals,,,
550e8400-e29b-41d4-a716-446655440001,page_view,2023-05-13 11:20:00,sess_030,social,camp_fb_004,facebook,social,/products/accessories,https://facebook.com,,,
550e8400-e29b-41d4-a716-446655440001,purchase,2023-05-13 11:35:00,sess_030,social,camp_fb_004,facebook,social,/checkout/success,,69.99,prod_wallet_001,accessories
550e8400-e29b-41d4-a716-446655440003,page_view,2023-05-13 15:40:00,sess_031,email,camp_email_006,email,email,/products/seasonal,email_campaign,,,
550e8400-e29b-41d4-a716-446655440003,purchase,2023-05-13 15:55:00,sess_031,email,camp_email_006,email,email,/checkout/success,,119.99,prod_sunglasses_001,accessories
550e8400-e29b-41d4-a716-446655440005,page_view,2023-05-14 09:30:00,sess_032,organic_search,camp_seo_010,google,organic,/categories/gaming,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440005,page_view,2023-05-14 09:45:00,sess_032,organic_search,camp_seo_010,google,organic,/products/consoles,/categories/gaming,,,
550e8400-e29b-41d4-a716-446655440002,page_view,2023-05-14 16:20:00,sess_033,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440002,purchase,2023-05-14 16:35:00,sess_033,direct,,direct,none,/checkout/success,,49.99,prod_mousepad_001,accessories
550e8400-e29b-41d4-a716-446655440007,page_view,2023-05-15 12:10:00,sess_034,paid_search,camp_ppc_006,google,cpc,/landing/mobile-accessories,https://google.com/ads,,,
